[2021-12-06 11:08:35.442978]
episode,timesteps
[2021-12-06 11:08:37.791557]
00, 15
01, 24
02, 137
03, 33
04, 39
05, 09
06, 21
07, 09
08, 09
09, 09
10, 22
11, 12
12, 09
13, 11
14, 10
15, 10
16, 45
17, 09
18, 15
19, 10
20, 09
21, 12
22, 20
23, 08
24, 13
25, 10
26, 10
27, 10
28, 10
29, 09
30, 09
31, 08
32, 12
33, 10
34, 20
35, 09
36, 09
37, 13
38, 08
39, 09
40, 12
41, 13
42, 71
43, 08
44, 09
45, 28
46, 22
47, 10
48, 76
49, 77
50, 136
51, 17
52, 20
53, 10
54, 09
55, 09
56, 10
57, 10
58, 11
59, 10
60, 10
61, 10
62, 10
63, 09
64, 10
65, 08
66, 10
67, 10
68, 10
69, 10
70, 09
71, 09
72, 09
73, 10
74, 09
75, 09
76, 11
77, 24
78, 31
79, 183
80, 40
81, 66
82, 38
83, 200
84, 191
85, 197
86, 132
87, 98
88, 107
89, 56
90, 54
91, 25
92, 60
93, 27
94, 106
95, 23
96, 26
97, 100
98, 121
99, 32
